Animal,Water,Walks,Stripes,Strength,Spots,Speed,Smart,Size,Hunter,Grazer,Furry,Forager,Active
Horse,2.22,55.58,0,69.13,15.8,81.68,37.28,71.5,4.09,72.19,40.58,2.34,55.95
German Shepherd,3.75,76.91,1.56,62.33,11.59,57.02,57.53,54.88,43.77,0.62,66.05,5.62,58.15
Blue Whale,76.61,0,2.5,55.26,23.75,21.42,39.06,86.46,5.94,0,0,0,7.88
Siamese Cat,2.22,67.39,0,8.96,6.94,43.24,52.9,2.22,34.6,0,72.76,19.05,37.63
Tiger,4.06,73.92,89.3,84.04,6.08,76.21,36.59,78.36,84.93,0,66.23,4.38,59.45
Elephant,1.25,66.19,0,67.45,1.25,3.75,22.81,85.48,3.75,43.83,1.14,8.06,6.48
Sheep,0,73.69,0,10,0,4.66,10.62,16.53,0,68.35,61.16,2.5,3.75
Squirrel,1.25,35.21,12.5,14.17,2.5,54.93,18.48,2.64,0,2.5,78.78,77.01,62.01
Wolf,0,32.95,0,61.63,0,63.13,61.48,40.21,71.47,0,67.2,22.97,77.68
Otter,78.75,5,0,11.39,0,40.97,27.22,11.25,32.92,0,46.94,1.25,41.11
Deer,0,63.33,0,23.88,48.08,73.73,40.05,39.88,5.26,69.35,52.33,23.91,50
Cow,0.55,58.21,4.09,47.02,31.35,10.89,13.97,68.31,0,60.89,32.05,5.24,20.93
Dolphin,71.4,0,0,41.88,0.8,59.09,60.38,47.82,20.01,0.75,0.62,8.86,53.15
