ID,symboling,normalized-losses,fuel-type,aspiration,num-of-doors,engine-location,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
1,2,164,1,0,4,0,99.8,176.6,66.2,54.3,2337,4,109,3.19,3.4,10,102,5500,24,30,13950
2,2,164,1,0,4,0,99.4,176.6,66.4,54.3,2824,5,136,3.19,3.4,8,115,5500,18,22,17450
3,1,158,1,0,4,0,105.8,192.7,71.4,55.7,2844,5,136,3.19,3.4,8.5,110,5500,19,25,17710
4,1,158,1,1,4,0,105.8,192.7,71.4,55.9,3086,5,131,3.13,3.4,8.3,140,5500,17,20,23875
5,2,192,1,0,2,0,101.2,176.8,64.8,54.3,2395,4,108,3.5,2.8,8.8,101,5800,23,29,16430
6,0,192,1,0,4,0,101.2,176.8,64.8,54.3,2395,4,108,3.5,2.8,8.8,101,5800,23,29,16925
7,0,188,1,0,2,0,101.2,176.8,64.8,54.3,2710,6,164,3.31,3.19,9,121,4250,21,28,20970
8,0,188,1,0,4,0,101.2,176.8,64.8,54.3,2765,6,164,3.31,3.19,9,121,4250,21,28,21105
9,2,121,1,0,2,0,88.4,141.1,60.3,53.2,1488,3,61,2.91,3.03,9.5,48,5100,47,53,5151
10,1,98,1,0,2,0,94.5,155.9,63.6,52,1874,4,90,3.03,3.11,9.6,70,5400,38,43,6295
11,0,81,1,0,4,0,94.5,158.8,63.6,52,1909,4,90,3.03,3.11,9.6,70,5400,38,43,6575
12,1,118,1,0,2,0,93.7,157.3,63.8,50.8,1876,4,90,2.97,3.23,9.41,68,5500,37,41,5572
13,1,118,1,0,2,0,93.7,157.3,63.8,50.8,1876,4,90,2.97,3.23,9.4,68,5500,31,38,6377
14,1,118,1,1,2,0,93.7,157.3,63.8,50.8,2128,4,98,3.03,3.39,7.6,102,5500,24,30,7957
15,1,148,1,0,4,0,93.7,157.3,63.8,50.6,1967,4,90,2.97,3.23,9.4,68,5500,31,38,6229
16,1,148,1,0,4,0,93.7,157.3,63.8,50.6,1989,4,90,2.97,3.23,9.4,68,5500,31,38,6692
17,1,148,1,0,4,0,93.7,157.3,63.8,50.6,1989,4,90,2.97,3.23,9.4,68,5500,31,38,7609
18,-1,110,1,0,4,0,103.3,174.6,64.6,59.8,2535,4,122,3.34,3.46,8.5,88,5000,24,30,8921
19,3,145,1,1,2,0,95.9,173.2,66.3,50.2,2811,4,156,3.6,3.9,7,145,5000,19,24,12964
20,2,137,1,0,2,0,86.6,144.6,63.9,50.8,1713,4,92,2.91,3.41,9.6,58,4800,49,54,6479
21,2,137,1,0,2,0,86.6,144.6,63.9,50.8,1819,4,92,2.91,3.41,9.2,76,6000,31,38,6855
22,1,101,1,0,2,0,93.7,150,64,52.6,1837,4,79,2.91,3.07,10.1,60,5500,38,42,5399
23,1,101,1,0,2,0,93.7,150,64,52.6,1940,4,92,2.91,3.41,9.2,76,6000,30,34,6529
24,1,101,1,0,2,0,93.7,150,64,52.6,1956,4,92,2.91,3.41,9.2,76,6000,30,34,7129
25,0,110,1,0,4,0,96.5,163.4,64,54.5,2010,4,92,2.91,3.41,9.2,76,6000,30,34,7295
26,0,78,1,0,4,0,96.5,157.1,63.9,58.3,2024,4,92,2.92,3.41,9.2,76,6000,30,34,7295
27,0,106,1,0,2,0,96.5,167.5,65.2,53.3,2236,4,110,3.15,3.58,9,86,5800,27,33,7895
28,0,106,1,0,2,0,96.5,167.5,65.2,53.3,2289,4,110,3.15,3.58,9,86,5800,27,33,9095
29,0,85,1,0,4,0,96.5,175.4,65.2,54.1,2304,4,110,3.15,3.58,9,86,5800,27,33,8845
30,0,85,1,0,4,0,96.5,175.4,62.5,54.1,2372,4,110,3.15,3.58,9,86,5800,27,33,10295
31,0,85,1,0,4,0,96.5,175.4,65.2,54.1,2465,4,110,3.15,3.58,9,101,5800,24,28,12945
32,1,107,1,0,2,0,96.5,169.1,66,51,2293,4,110,3.15,3.58,9.1,100,5500,25,31,10345
33,0,145,1,0,4,0,113,199.6,69.6,52.8,4066,6,258,3.63,4.17,8.1,176,4750,15,19,32250
34,1,104,1,0,2,0,93.1,159.1,64.2,54.1,1890,4,91,3.03,3.15,9,68,5000,30,31,5195
35,1,104,1,0,2,0,93.1,159.1,64.2,54.1,1900,4,91,3.03,3.15,9,68,5000,31,38,6095
36,1,104,1,0,2,0,93.1,159.1,64.2,54.1,1905,4,91,3.03,3.15,9,68,5000,31,38,6795
37,1,113,1,0,4,0,93.1,166.8,64.2,54.1,1945,4,91,3.03,3.15,9,68,5000,31,38,6695
38,1,113,1,0,4,0,93.1,166.8,64.2,54.1,1950,4,91,3.08,3.15,9,68,5000,31,38,7395
39,1,129,1,0,2,0,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8.6,84,4800,26,32,8845
40,0,115,1,0,4,0,98.8,177.8,66.5,55.5,2410,4,122,3.39,3.39,8.6,84,4800,26,32,8495
41,1,129,1,0,2,0,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8.6,84,4800,26,32,10595
42,0,115,1,0,4,0,98.8,177.8,66.5,55.5,2410,4,122,3.39,3.39,8.6,84,4800,26,32,10245
43,0,115,1,0,4,0,98.8,177.8,66.5,55.5,2425,4,122,3.39,3.39,8.6,84,4800,26,32,11245
44,0,118,1,0,4,0,104.9,175,66.1,54.4,2670,4,140,3.76,3.16,8,120,5000,19,27,18280
45,-1,93,0,1,4,0,110,190.9,70.3,56.5,3515,5,183,3.58,3.64,21.5,123,4350,22,25,25552
46,-1,93,0,1,4,0,110,190.9,70.3,58.7,3750,5,183,3.58,3.64,21.5,123,4350,22,25,28248
47,0,93,0,1,2,0,106.7,187.5,70.3,54.9,3495,5,183,3.58,3.64,21.5,123,4350,22,25,28176
48,-1,93,0,1,4,0,115.6,202.6,71.7,56.3,3770,5,183,3.58,3.64,21.5,123,4350,22,25,31600
49,3,142,1,0,2,0,96.6,180.3,70.5,50.8,3685,8,234,3.46,3.1,8.3,155,4750,16,18,35056
50,2,161,1,0,2,0,93.7,157.3,64.4,50.8,1918,4,92,2.97,3.23,9.4,68,5500,37,41,5389
51,2,161,1,0,2,0,93.7,157.3,64.4,50.8,1944,4,92,2.97,3.23,9.4,68,5500,31,38,6189
52,2,161,1,0,2,0,93.7,157.3,64.4,50.8,2004,4,92,2.97,3.23,9.4,68,5500,31,38,6669
53,1,161,1,1,2,0,93,157.3,63.8,50.8,2145,4,98,3.03,3.39,7.6,102,5500,24,30,7689
54,3,153,1,1,2,0,96.3,173,65.4,49.4,2370,4,110,3.17,3.46,7.5,116,5500,23,30,9959
