ID, Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa
1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1
2,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
3,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
4,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
5,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
6,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
7,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
8,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1
9,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
10,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
11,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
12,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
13,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
14,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
15,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
16,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
17,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1
18,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
19,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
20,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
21,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
22,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
23,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
24,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
25,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1
26,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
27,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
28,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
29,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
30,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1
31,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1
32,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
33,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
34,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1
35,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1
36,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1
37,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0
38,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
39,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1
40,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0
41,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
42,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
43,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1
