file,april/ave/report,<number>/unit/call,name/man/date,<number>/cia/date,<number>/report/phone,fbi/list/<number>,date/passport/address,polic/truck/two,april/home/compani,report/driver/explos
cia1,0.077586207,0.103448276,0.086206897,0.129310345,0.137931034,0.094827586,0.103448276,0.060344828,0.112068966,0.094827586
cia10,0.090909091,0.161616162,0.111111111,0.090909091,0.060606061,0.090909091,0.121212121,0.070707071,0.111111111,0.090909091
cia11,0.07,0.06,0.18,0.1,0.1,0.09,0.07,0.08,0.05,0.2
cia2,0.107142857,0.071428571,0.071428571,0.130952381,0.130952381,0.095238095,0.095238095,0.083333333,0.095238095,0.119047619
cia3,0.057142857,0.192857143,0.15,0.042857143,0.071428571,0.057142857,0.221428571,0.092857143,0.05,0.064285714
cia4,0.1,0.1,0.125,0.075,0.083333333,0.133333333,0.133333333,0.066666667,0.041666667,0.141666667
cia5,0.087912088,0.087912088,0.098901099,0.087912088,0.076923077,0.098901099,0.120879121,0.098901099,0.153846154,0.087912088
cia6,0.075630252,0.117647059,0.12605042,0.100840336,0.109243697,0.100840336,0.084033613,0.084033613,0.109243697,0.092436975
cia7,0.099009901,0.108910891,0.079207921,0.138613861,0.089108911,0.059405941,0.118811881,0.108910891,0.128712871,0.069306931
cia8,0.070921986,0.085106383,0.078014184,0.106382979,0.070921986,0.078014184,0.106382979,0.226950355,0.127659574,0.04964539
cia9,0.08988764,0.08988764,0.08988764,0.08988764,0.08988764,0.056179775,0.134831461,0.146067416,0.146067416,0.06741573
fbi1,0.108108108,0.081081081,0.045045045,0.09009009,0.09009009,0.369369369,0.054054054,0.054054054,0.045045045,0.063063063
fbi10,0.061452514,0.111731844,0.189944134,0.061452514,0.139664804,0.111731844,0.089385475,0.072625698,0.061452514,0.100558659
fbi11,0.112149533,0.065420561,0.065420561,0.056074766,0.112149533,0.158878505,0.112149533,0.112149533,0.093457944,0.112149533
fbi12,0.12,0.106666667,0.093333333,0.08,0.08,0.106666667,0.093333333,0.106666667,0.12,0.093333333
fbi13,0.092105263,0.105263158,0.078947368,0.065789474,0.118421053,0.197368421,0.078947368,0.092105263,0.092105263,0.078947368
fbi14,0.086956522,0.119565217,0.119565217,0.086956522,0.086956522,0.054347826,0.119565217,0.152173913,0.065217391,0.108695652
fbi15,0.058823529,0.117647059,0.058823529,0.164705882,0.058823529,0.223529412,0.082352941,0.070588235,0.070588235,0.094117647
fbi16,0.060240964,0.084337349,0.060240964,0.084337349,0.120481928,0.265060241,0.060240964,0.084337349,0.096385542,0.084337349
fbi17,0.105263158,0.092105263,0.118421053,0.105263158,0.092105263,0.144736842,0.105263158,0.105263158,0.065789474,0.065789474
fbi18,0.1,0.1,0.084615385,0.169230769,0.069230769,0.046153846,0.076923077,0.230769231,0.046153846,0.076923077
fbi19,0.099009901,0.04950495,0.059405941,0.079207921,0.118811881,0.04950495,0.207920792,0.108910891,0.118811881,0.108910891
fbi2,0.118811881,0.069306931,0.059405941,0.118811881,0.118811881,0.099009901,0.118811881,0.069306931,0.089108911,0.138613861
fbi20,0.141304348,0.130434783,0.065217391,0.097826087,0.086956522,0.086956522,0.076086957,0.163043478,0.065217391,0.086956522
fbi21,0.067307692,0.076923077,0.067307692,0.086538462,0.173076923,0.076923077,0.173076923,0.057692308,0.086538462,0.134615385
fbi22,0.088888889,0.111111111,0.144444444,0.077777778,0.077777778,0.133333333,0.077777778,0.111111111,0.066666667,0.111111111
fbi23,0.087378641,0.077669903,0.223300971,0.077669903,0.077669903,0.058252427,0.077669903,0.145631068,0.087378641,0.087378641
fbi24,0.136986301,0.082191781,0.068493151,0.136986301,0.109589041,0.095890411,0.068493151,0.095890411,0.068493151,0.136986301
fbi25,0.076271186,0.152542373,0.050847458,0.06779661,0.084745763,0.13559322,0.076271186,0.152542373,0.118644068,0.084745763
fbi3,0.080213904,0.042780749,0.064171123,0.069518717,0.106951872,0.042780749,0.053475936,0.368983957,0.117647059,0.053475936
fbi4,0.093333333,0.06,0.086666667,0.273333333,0.033333333,0.06,0.08,0.12,0.093333333,0.1
fbi5,0.152317881,0.112582781,0.105960265,0.079470199,0.046357616,0.052980132,0.072847682,0.205298013,0.086092715,0.086092715
fbi6,0.097826087,0.097826087,0.065217391,0.163043478,0.076086957,0.108695652,0.054347826,0.108695652,0.163043478,0.065217391
fbi7,0.111111111,0.12345679,0.074074074,0.061728395,0.12345679,0.12345679,0.074074074,0.074074074,0.12345679,0.111111111
fbi8,0.102040816,0.091836735,0.102040816,0.06122449,0.132653061,0.071428571,0.163265306,0.081632653,0.102040816,0.091836735
fbi9,0.075630252,0.058823529,0.058823529,0.109243697,0.100840336,0.067226891,0.218487395,0.18487395,0.075630252,0.050420168
se1,0.079365079,0.063492063,0.087301587,0.063492063,0.261904762,0.095238095,0.111111111,0.063492063,0.095238095,0.079365079
se2,0.08,0.15,0.09,0.06,0.2,0.12,0.06,0.06,0.13,0.05
se3,0.11827957,0.129032258,0.086021505,0.064516129,0.139784946,0.161290323,0.064516129,0.086021505,0.064516129,0.086021505
se4,0.117647059,0.105882353,0.094117647,0.105882353,0.164705882,0.129411765,0.058823529,0.070588235,0.070588235,0.082352941
se5,0.115384615,0.153846154,0.102564103,0.064102564,0.128205128,0.115384615,0.064102564,0.064102564,0.08974359,0.102564103
